row_id,column,value,confidence,source
355,beer_name,Noche Dulce,1.0000,baran
5,beer_name,Summer Solstice Cerveza Crema (2009),1.0000,baran
32,beer_name,Pinner Throwback IPA,1.0000,baran
39,beer_name,Blown Out Brown,1.0000,baran
42,beer_name,Black Star Double Hopped Golden Lager (24 oz.),1.0000,baran
61,beer_name,Summerfest,1.0000,baran
78,beer_name,Polar Night Stout,1.0000,baran
94,beer_name,Jade,1.0000,baran
98,beer_name,Pure Fury,1.0000,baran
105,beer_name,Wasatch Apricot Hefeweizen,1.0000,baran
120,beer_name,Manzanita Pale Ale,1.0000,baran
129,beer_name,Grazias,1.0000,baran
133,beer_name,Ginja Ninja,1.0000,baran
134,beer_name,Black Star Double Hopped Golden Lager (24 oz.),1.0000,baran
163,beer_name,Hilliard's Blonde,1.0000,baran
166,beer_name,312 Urban Wheat Ale (2012),1.0000,baran
168,beer_name,Rocket Girl,1.0000,baran
178,beer_name,Bohemian Export Lager,1.0000,baran
185,beer_name,Sunshine Wheat Beer (2009),1.0000,baran
191,beer_name,Nonstop Hef Hop,1.0000,baran
197,beer_name,Get Up Offa That Brown,1.0000,baran
198,beer_name,Hop Slayer Double IPA (2011),1.0000,baran
236,beer_name,Ninja Porter,1.0000,baran
238,beer_name,1327 Pod's ESB,1.0000,baran
247,beer_name,Polar Night Stout,1.0000,baran
257,beer_name,Dale's Pale Ale,1.0000,baran
264,beer_name,Psychopomp,1.0000,baran
271,beer_name,Irregardless IPA,1.0000,baran
328,beer_name,Grind Line,1.0000,baran
347,beer_name,Special Amber,1.0000,baran
381,beer_name,Thai.p.a,1.0000,baran
395,beer_name,California Route,1.0000,baran
405,beer_name,Indie Pale Ale,1.0000,baran
412,beer_name,Keebarlin' Pale Ale,1.0000,baran
425,beer_name,HopArt,1.0000,baran
435,beer_name,Plum St. Porter,1.0000,baran
453,beer_name,Havanüther,1.0000,baran
493,beer_name,Wiregrass Post-Prohibition Ale,1.0000,baran
496,beer_name,Oakshire Amber Ale,1.0000,baran
512,beer_name,Invasion Pale Ale,1.0000,baran
533,beer_name,Threadless IPA,1.0000,baran
535,beer_name,BrightCider,1.0000,baran
560,beer_name,Smittytown,1.0000,baran
567,beer_name,Fat Tire Amber Ale,1.0000,baran
579,beer_name,Kludde,1.0000,baran
600,beer_name,Insert Hop Reference,1.0000,baran
631,beer_name,Tin Roof Watermelon Wheat,1.0000,baran
665,beer_name,Pub Ale,1.0000,baran
682,beer_name,Tip Off,1.0000,baran
706,beer_name,Honey Cider,1.0000,baran
744,beer_name,Squeaky Bike Nut Brown Ale,1.0000,baran
787,beer_name,Gangway IPA,1.0000,baran
808,beer_name,Suicide Squeeze IPA,1.0000,baran
815,beer_name,British Pale Ale (2010),1.0000,baran
829,beer_name,Blown Out Brown,1.0000,baran
841,beer_name,Dale's Pale Ale (2002),1.0000,baran
843,beer_name,Schweet Ale,1.0000,baran
848,beer_name,Heal the Bay IPA,1.0000,baran
860,beer_name,Snake River Pale Ale,1.0000,baran
872,beer_name,Stout Ol' Friend,1.0000,baran
878,beer_name,Bitter Brewer,1.0000,baran
897,beer_name,Left of the Dial IPA,1.0000,baran
902,beer_name,El Hefe Speaks,1.0000,baran
